handle_lower,official_full,quartile,party_code,pct_small_donors,tweet_count,avg_sentiment,sentiment_std,pct_negative,pct_positive,pct_extreme,avg_anger,avg_fear,avg_joy,avg_disgust,avg_sadness,outrage_index,z_avg_anger,z_avg_disgust,z_pct_negative,z_sentiment_std,partisanship_score,is_R
austinscottga08,Austin Scott,Q1 (lowest),R,1.26,278,0.1349243072511481,0.7418376379727712,0.3273381294964029,0.46402877697841727,0.5575539568345323,0.15379060064894715,0.15280710650545545,0.2604591703570444,0.04940751410086707,0.1151160292811909,0.20319811474981422,0.9573373789890356,0.28433372924184375,0.5255730356639016,1.0828082272493196,0.712513092786025,1
benniegthompson,Bennie G. Thompson,Q2,D,1.98,553,0.4105929386874435,0.6286791833795949,0.13924050632911392,0.5768535262206148,0.5479204339963833,0.08268293627833768,0.09652841270257712,0.3556824294504142,0.023154405376439775,0.07978040616850704,0.10583734165477746,-0.5828146065811562,-0.6038066004972513,-0.8083600950792457,-0.32067754320269276,-0.5789147113400865,0
bettymccollum04,Betty McCollum,Q2,D,4.34,1761,0.4037826170405497,0.6585619937802573,0.17092561044860874,0.6081771720613288,0.5831913685406019,0.08303984339394714,0.20640250101477547,0.3810772236705762,0.020620719399952324,0.07828234079156265,0.10366056279389946,-0.5750841993510006,-0.6895209714021764,-0.5836586372705511,0.049954057672616826,-0.44957743758777785,0
bobbyscott,"Robert C. ""Bobby"" Scott",Q2,D,3.52,1101,0.5476506628522431,0.6219202342621681,0.1298819255222525,0.7020890099909174,0.698455949137148,0.06653284830642651,0.11995515634557316,0.5678016729628562,0.01920263699317893,0.04793191042470299,0.08573548529960545,-0.9326164215786563,-0.7374945729123498,-0.8747284031141999,-0.40450768160129313,-0.7373367698016249,0
boblatta,Robert E. Latta,Q2,R,2.53,1165,0.41699129575823507,0.6378478803844432,0.15450643776824036,0.5965665236051502,0.5630901287553648,0.0731712942423854,0.23060698362068335,0.39505773796367677,0.022590428951149856,0.07052767998428987,0.09576172319353526,-0.7888314192183008,-0.6228858727304862,-0.7000985903594693,-0.20695969661178976,-0.5796938947300115,1
bradsherman,Brad Sherman,Q1 (lowest),D,1.04,1479,0.047681274226261526,0.6637802841112289,0.29749830966869506,0.3204868154158215,0.41379310344827586,0.11779783921962253,0.48717495506662645,0.19105271284148975,0.012759330318717597,0.07041902090708924,0.13055716953834012,0.1777544258405859,-0.9554710637932801,0.3139577924017108,0.11467565759138841,-0.08727079698989874,0
call_me_dutch,C. A. Dutch Ruppersberger,Q1 (lowest),D,0.7,552,0.5720601061332053,0.5901962764111551,0.1213768115942029,0.7355072463768116,0.6594202898550725,0.06576229290141673,0.3112833400768252,0.4188206011169603,0.012384508469251005,0.06821425638032526,0.07814680137066773,-0.9493062179251129,-0.9681512535747262,-0.9350441745648589,-0.7979747326173916,-0.9126190946705224,0
cathymcmorris,Cathy McMorris Rodgers,Q3,R,7.49,515,0.07655787439022249,0.6990286460142396,0.34368932038834954,0.3941747572815534,0.429126213592233,0.16170282226544125,0.24094941958799748,0.19468551498178832,0.0343211785880837,0.07109703307618717,0.19602400085352495,1.128711645613824,-0.2260356573904943,0.6415308818641949,0.5518553145642007,0.5240155461629313,1
chelliepingree,Chellie Pingree,Q3,D,12.5,839,0.17390926880262464,0.7364092329120997,0.31227651966626935,0.4696066746126341,0.5458879618593564,0.13661000885555563,0.22066386997014562,0.2596243746715783,0.043951512114225294,0.087494484301758,0.18056152096978093,0.585215431262684,0.09975766800896996,0.418760519820077,1.0154806087669652,0.5298035569646741,0
congboyle,Brendan F. Boyle,Q1 (lowest),D,0.54,408,0.15984007650438478,0.7048835450294894,0.28921568627450983,0.4362745098039216,0.4950980392156863,0.12970250220492813,0.2240965749894231,0.23835542485497116,0.031615189760843446,0.0794592388754644,0.16131769196577156,0.43560272527004495,-0.31757901838908376,0.2552198585090229,0.6244726676809337,0.24942905826772943,0
