handle,official_full,quartile,party_code,pct_small_donors,tweet_count,avg_sentiment,sentiment_std,pct_negative,pct_positive,pct_extreme,avg_anger,avg_fear,avg_joy,avg_disgust,avg_sadness
Lancegooden,Lance Gooden,Q1 (lowest),R,0.51,1528,-0.44255992251384946,0.5435101194280638,0.6819371727748691,0.10471204188481675,0.424738219895288,0.1982767194176488,0.12901923471724008,0.05038503400623871,0.1028546619772182,0.07298826520218898
RepBrianBabin,Brian Babin,Q1 (lowest),R,1.22,1267,-0.42562539994293247,0.6617295805099598,0.7000789265982637,0.17600631412786108,0.6156274664561957,0.22314932290675965,0.17582631876261057,0.11305575221463637,0.145821267768513,0.07768844006847345
TXRandy14,"Randy K. Weber, Sr.",Q1 (lowest),R,1.49,824,-0.20195749326093684,0.7356878789915743,0.5521844660194175,0.2779126213592233,0.5558252427184466,0.19684099068434835,0.15391637266180372,0.14899259336086895,0.10214648307545161,0.08728356289949142
WarrenDavidson,Warren Davidson,Q1 (lowest),R,1.51,3024,-0.1409677850801951,0.5855142953192574,0.3974867724867725,0.19146825396825398,0.291005291005291,0.1661059546792578,0.1941418582461121,0.10808356564870641,0.04979652134629057,0.0855110560955908
RepRWilliams,Roger Williams,Q1 (lowest),R,0.7,1289,-0.09680845841037108,0.7417060758545498,0.46470131885182314,0.32117920868890615,0.5376260667183863,0.1477300483021105,0.3448120373784119,0.18646370482939356,0.04068260034656886,0.07373562877054146
RepArrington,Jodey C. Arrington,Q1 (lowest),R,0.5,892,-0.08472875702808791,0.7020994538060452,0.42937219730941706,0.29596412556053814,0.460762331838565,0.1434834978587334,0.1681618127766203,0.1775246991876031,0.0682827884856095,0.0771186198472022
RepAaronBean,Aaron Bean,Q1 (lowest),R,0.45,624,-0.06237040178324932,0.7148714942238854,0.4326923076923077,0.3173076923076923,0.49198717948717946,0.20187467071744505,0.3297011174841034,0.16687787949250862,0.026446045220883417,0.07516802859661248
RepLloydDoggett,Lloyd Doggett,Q1 (lowest),D,1.56,1894,-0.03821829416117421,0.6954254998001204,0.397571277719113,0.31890179514255546,0.4408658922914467,0.1591914935959043,0.2168498602729415,0.1952696607442229,0.06914997818085063,0.09493311261546149
RepCohen,Steve Cohen,Q1 (lowest),D,0.45,1839,-0.028881799662612326,0.6767533182938331,0.37520391517128876,0.3072321914083741,0.4154431756389342,0.14613700090081905,0.21939833876285006,0.1586913498234017,0.04482261143305285,0.11407487822751383
RepTimmons,William R. Timmons IV,Q1 (lowest),R,0.59,416,-0.011013605990088899,0.7356540304693151,0.40865384615384615,0.35096153846153844,0.5048076923076923,0.171791880897497,0.13269648757970848,0.22801695324904775,0.0838018354047912,0.08442499102294762
RepRickCrawford,"Eric A. ""Rick"" Crawford",Q1 (lowest),R,0.91,158,0.008762612750258629,0.7401192357139481,0.43037974683544306,0.3860759493670886,0.47468354430379744,0.1575981785272118,0.3164762902645323,0.21244730601213202,0.0275403645116713,0.10223215539229416
USRepGaryPalmer,Gary J. Palmer,Q1 (lowest),R,0.24,678,0.014916156816974854,0.7490081765064874,0.3967551622418879,0.3687315634218289,0.5339233038348082,0.144187354605307,0.16335176780122254,0.25549479771171424,0.06669657517995584,0.07616431168936447
BradSherman,Brad Sherman,Q1 (lowest),D,1.04,1479,0.047681274226261526,0.6637802841112289,0.29749830966869506,0.3204868154158215,0.41379310344827586,0.11779783921962253,0.48717495506662645,0.19105271284148975,0.012759330318717597,0.07041902090708924
