candidate,file,total_records,total_receipt_amount
Alexandria Ocasio Cortez,alexandria_ocasio_cortez_2015-25.csv,197042,10244668.71
Bernie Sanders,bernie_sanders_2015-25.csv,1016469,39514032.949999996
Eli Crane,eli_crane_2015-2025.csv,222001,22517292.720000003
Elizabeth Warren,elizabeth_warren_2015-25.csv,698935,40734732.21
Jim Jordan,jim_jordan_2015-2025.csv,297774,25930565.329999994
Marjorie Taylor Greene,marjorie_taylor_greene_2015-25.csv,153851,58301345.35
Michael Burgess,michael_burgess_2015-25.csv,26162,7783685.630000001
Nancy Pelosi,nancy_pelosi_2015-25.csv,1161131,67361122.65
Rand Paul,rand_paul_2015-25.csv,162904,37639255.62
Victoria Spartz,victoria_spartz_2015-25.csv,13434,8526533.03
