Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter
TaylorMarjorie Taylor Greene (R),$7932166,$5763400,72.66%,Raised over $100k,R,Republican,7932166,5763400,72.66,Marjorie Taylor Greene,100.0,manual,,,Marjorie Taylor Greene,Republican,rep,GA,G000596,
Ocasio-CortezAlexandria Ocasio-Cortez (D),$15160101,$10602414,69.94%,Raised over $100k,D,Democrat,15160101,10602414,69.94,Alexandria Ocasio-Cortez,100.0,auto,Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,Democrat,rep,NY,O000172,RepAOC
SandersBernie Sanders (I),$35728405,$22732498,63.63%,Raised over $100k,I,Independent,35728405,22732498,63.63,Bernie Sanders,82.8,auto,Bernard,Sanders,Bernard Sanders,Independent,sen,VT,S000033,SenSanders
JordanJim Jordan (R),$13313614,$7423207,55.76%,Raised over $100k,R,Republican,13313614,7423207,55.76,Jim Jordan,100.0,auto,Jim,Jordan,Jim Jordan,Republican,rep,OH,J000289,Jim_Jordan
CraneEli Crane (R),$8437397,$4638205,54.97%,Raised over $100k,R,Republican,8437397,4638205,54.97,Eli Crane,85.7,auto,Eli,Crane,Elijah Crane,Republican,rep,AZ,C001132,RepEliCrane
WarrenElizabeth Warren (D),$20636522,$11272309,54.62%,Raised over $100k,D,Democrat,20636522,11272309,54.62,Elizabeth Warren,100.0,auto,Elizabeth,Warren,Elizabeth Warren,Democrat,sen,MA,W000817,SenWarren
PelosiNancy Pelosi (D),$10003159,$5340919,53.39%,Raised over $100k,D,Democrat,10003159,5340919,53.39,Nancy Pelosi,100.0,auto,Nancy,Pelosi,Nancy Pelosi,Democrat,rep,CA,P000197,SpeakerPelosi
PaulRand Paul (R),$35527402,$18466244,51.98%,Raised over $100k,R,Republican,35527402,18466244,51.98,Rand Paul,100.0,auto,Rand,Paul,Rand Paul,Republican,sen,KY,P000603,SenRandPaul
SpartzVictoria Spartz (R),$811493,$408852,50.38%,Raised over $100k,R,Republican,811493,408852,50.38,Victoria Spartz,100.0,auto,Victoria,Spartz,Victoria Spartz,Republican,rep,IN,S000929,RepSpartz
BurgessMichael Burgess (R),$1200022,$604170,50.35%,Raised over $100k,R,Republican,1200022,604170,50.35,Michael C. Burgess,100.0,manual,,,Michael C. Burgess,Republican,rep,TX,B001248,
FettermanJohn Fetterman (D),$82199022,$41257356,50.19%,Raised over $100k,D,Democrat,82199022,41257356,50.19,John Fetterman,100.0,auto,John,Fetterman,John Fetterman,Democrat,sen,PA,F000479,
MillerMary Miller (R),$1560026,$769100,49.30%,Raised over $100k,R,Republican,1560026,769100,49.3,Mary Miller,88.0,auto,Mary,Miller,Mary E. Miller,Republican,rep,IL,M001211,RepMaryMiller
