Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
NealRichard E Neal (D),$3251363,$4416,0.14%,Raised over $100k,D,Democrat,3251363,4416,0.14,Richard E Neal,96.6,auto,Richard,Neal,Richard E. Neal,Democrat,rep,MA,N000015,RepRichardNeal,Q1 (lowest),stratified
IveyGlenn Ivey (D),$907644,$10244,1.13%,Raised over $100k,D,Democrat,907644,10244,1.13,Glenn Ivey,100.0,auto,Glenn,Ivey,Glenn Ivey,Democrat,rep,MD,I000058,RepGlennIvey,Q1 (lowest),stratified
AuchinclossJake Auchincloss (D),$3479676,$24613,0.71%,Raised over $100k,D,Democrat,3479676,24613,0.71,Jake Auchincloss,100.0,auto,Jake,Auchincloss,Jake Auchincloss,Democrat,rep,MA,A000148,RepAuchincloss,Q1 (lowest),stratified
SotoDarren Soto (D),$2131678,$30415,1.43%,Raised over $100k,D,Democrat,2131678,30415,1.43,Darren Soto,100.0,auto,Darren,Soto,Darren Soto,Democrat,rep,FL,S001200,RepDarrenSoto,Q1 (lowest),stratified
LynchStephen Lynch (D),$709924,$3036,0.43%,Raised over $100k,D,Democrat,709924,3036,0.43,Stephen Lynch,89.7,auto,Stephen,Lynch,Stephen F. Lynch,Democrat,rep,MA,L000562,RepStephenLynch,Q1 (lowest),stratified
DoggettLloyd Doggett (D),$1541264,$23993,1.56%,Raised over $100k,D,Democrat,1541264,23993,1.56,Lloyd Doggett,100.0,auto,Lloyd,Doggett,Lloyd Doggett,Democrat,rep,TX,D000399,RepLloydDoggett,Q1 (lowest),stratified
PalloneFrank Pallone Jr. (D),$3455759,$20693,0.60%,Raised over $100k,D,Democrat,3455759,20693,0.6,Frank Pallone Jr.,97.1,auto,Frank,Pallone,"Frank Pallone, Jr.",Democrat,rep,NJ,P000034,FrankPallone,Q1 (lowest),stratified
GarciaSylvia Garcia (D),$929198,$5347,0.58%,Raised over $100k,D,Democrat,929198,5347,0.58,Sylvia Garcia,89.7,auto,Sylvia,Garcia,Sylvia R. Garcia,Democrat,rep,TX,G000587,RepSylviaGarcia,Q1 (lowest),stratified
KellyRobin Kelly (D),$1893899,$69494,3.67%,Raised over $100k,D,Democrat,1893899,69494,3.67,Robin Kelly,88.0,auto,Robin,Kelly,Robin L. Kelly,Democrat,rep,IL,K000385,RepRobinKelly,Q2,stratified
MatsuiDoris Matsui (D),$1227949,$28623,2.33%,Raised over $100k,D,Democrat,1227949,28623,2.33,Doris Matsui,88.9,auto,Doris,Matsui,Doris O. Matsui,Democrat,rep,CA,M001163,DorisMatsui,Q2,stratified
TorresRitchie Torres (D),$9084008,$318391,3.50%,Raised over $100k,D,Democrat,9084008,318391,3.5,Ritchie Torres,100.0,auto,Ritchie,Torres,Ritchie Torres,Democrat,rep,NY,T000486,RepRitchie,Q2,stratified
HoyerSteny H Hoyer (D),$1703494,$30478,1.79%,Raised over $100k,D,Democrat,1703494,30478,1.79,Steny H Hoyer,96.3,auto,Steny,Hoyer,Steny H. Hoyer,Democrat,rep,MD,H000874,RepStenyHoyer,Q2,stratified
McCollumBetty McCollum (D),$1758278,$76391,4.34%,Raised over $100k,D,Democrat,1758278,76391,4.34,Betty McCollum,100.0,auto,Betty,McCollum,Betty McCollum,Democrat,rep,MN,M001143,BettyMcCollum04,Q2,stratified
HolmesEleanor Holmes Norton (D),$286817,$7167,2.50%,Raised over $100k,D,Democrat,286817,7167,2.5,Eleanor Holmes Norton,100.0,manual,,,Eleanor Holmes Norton,Democrat,rep,DC,N000147,EleanorNorton,Q2,stratified
AguilarPete Aguilar (D),$5808795,$223890,3.85%,Raised over $100k,D,Democrat,5808795,223890,3.85,Pete Aguilar,100.0,auto,Pete,Aguilar,Pete Aguilar,Democrat,rep,CA,A000371,RepPeteAguilar,Q2,stratified
MorelleJoseph D Morelle (D),$2122468,$68117,3.21%,Raised over $100k,D,Democrat,2122468,68117,3.21,Joseph D Morelle,97.0,auto,Joseph,Morelle,Joseph D. Morelle,Democrat,rep,NY,M001206,RepJoeMorelle,Q2,stratified
PettersenBrittany Pettersen (D),$2444027,$200264,8.19%,Raised over $100k,D,Democrat,2444027,200264,8.19,Brittany Pettersen,100.0,auto,Brittany,Pettersen,Brittany Pettersen,Democrat,rep,CO,P000620,reppettersen,Q3,stratified
LeeSusie Lee (D),$5966655,$450741,7.55%,Raised over $100k,D,Democrat,5966655,450741,7.55,Susie Lee,100.0,auto,Susie,Lee,Susie Lee,Democrat,rep,NV,L000590,RepSusieLee,Q3,stratified
McGarveyMorgan McGarvey (D),$2152286,$141599,6.58%,Raised over $100k,D,Democrat,2152286,141599,6.58,Morgan McGarvey,100.0,auto,Morgan,McGarvey,Morgan McGarvey,Democrat,rep,KY,M001220,RepMcGarvey,Q3,stratified
DavisDon Davis (D),$5997022,$607763,10.13%,Raised over $100k,D,Democrat,5997022,607763,10.13,Don Davis,75.0,auto,Donald,Davis,Donald G. Davis,Democrat,rep,NC,D000230,RepDonDavis,Q3,stratified
CastroJoaquin Castro (D),$677236,$80805,11.93%,Raised over $100k,D,Democrat,677236,80805,11.93,Joaquin Castro,100.0,auto,Joaquin,Castro,Joaquin Castro,Democrat,rep,TX,C001091,JoaquinCastrotx,Q3,stratified
JohnsonHank Johnson (D),$661564,$40966,6.19%,Raised over $100k,D,Democrat,661564,40966,6.19,"Henry C. ""Hank"" Johnson, Jr.",100.0,manual,,,"Henry C. ""Hank"" Johnson, Jr.",Democrat,rep,GA,J000288,RepHankJohnson,Q3,stratified
