Member of Congress,Party,State,Twitter Handle,Instagram,Facebook Address
Del. Eleanor Norton,D,DC-0,@EleanorNorton,@congresswomannorton,https://www.facebook.com/CongresswomanNorton
Kevin Mullin,D,CA-15,@kevinmullin,@kevin.mullin,https://www.facebook.com/kevinmullinforcongress/
Rep. Aaron Bean,R,FL-4,@RepAaronBean,@repaaronbean,https://www.facebook.com/people/Congressman-Aaron-Bea
Rep. Adam Schiff,D,CA-30,@RepAdamSchiff,@RepAdamSchiff,https://www.facebook.com/RepAdamSchiff
Rep. Adrian Smith,R,NE-3,@RepAdrianSmith,@repadriansmith,https://www.facebook.com/AdrianSmithNE?fref=ts
Rep. Adriano Espaillat,D,NY-13,@RepEspaillat,@repadrianoespaillat,http://www.facebook.com/RepEspaillat
"Rep. Alexandria Ocasio-
Cortez",D,NY-14,@RepAOC,@aoc,https://www.facebook.com/repAOC/
Rep. Alma Adams,D,NC-12,@RepAdams,@repadams,https://www.facebook.com/CongresswomanAdams
Rep. Ami Bera,D,CA-6,@RepBera,@repbera, https://www.facebook.com/RepAmiBera
Rep. Andre Carson,D,IN-7,@RepAndreCarson,@repandrecarson,https://www.facebook.com/CongressmanAndreCarson
Rep. Andrea Salinas,D,OR-6,@RepSalinas,@repsalinas,https://www.facebook.com/RepSalinas
Rep. Andrew Garbarino,R,NY-2,@RepGarbarino,@repandrewgarbarino,https://www.facebook.com/RepAndrewGarbarino/
Rep. Andrew S. Clyde,R,GA-9,@Rep_Clyde,@repclyde,https://www.facebook.com/HouseRepublicans
Rep. Andy Barr,R,KY-6,@RepAndyBarr,@repandybarr,https://www.facebook.com/RepAndyBarr
Rep. Andy Biggs,R,AZ-5,@RepAndyBiggsAZ,@repandybiggs,http://www.facebook.com/RepAndyBiggs
Rep. Andy Harris,R,MD-1,@RepAndyHarrisMD,@rep.harris,https://www.facebook.com/AndyHarrisMD
Rep. Andy Kim,D,NJ-3,@RepAndyKimNJ,@repandykimnj,https://www.facebook.com/RepAndyKimNJ/
Rep. Angela Craig,D,MN-2,@RepAngieCraig,@repangiecraig,https://www.facebook.com/RepAngieCraig
Rep. Ann Kuster,D,NH-2,@RepAnnieKuster,@repanniekuster,https://www.facebook.com/CongresswomanAnnieKuster
Rep. Ann Wagner,R,MO-2,@RepAnnWagner,@repannwagner,https://www.facebook.com/RepAnnWagner
Rep. Anna Eshoo,D,CA-16,@RepAnnaEshoo,@RepAnnaEshoo,https://www.facebook.com/RepAnnaEshoo
Rep. Anna Paulina Luna,R,FL-13,@RepLuna,@realannapaulina,https://www.facebook.com/VoteAPL/
Rep. Anthony D'Esposito,R,NY-4,@RepDesposito,@anthonydespo,https://www.facebook.com/anthonypdesposito/
