Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
TaylorMarjorie Taylor Greene (R),$7932166,$5763400,72.66%,Raised over $100k,R,Republican,7932166,5763400,72.66,Marjorie Taylor Greene,100.0,manual,,,Marjorie Taylor Greene,Republican,rep,GA,G000596,RepMTG,Q4 (highest),full_house
Ocasio-CortezAlexandria Ocasio-Cortez (D),$15160101,$10602414,69.94%,Raised over $100k,D,Democrat,15160101,10602414,69.94,Alexandria Ocasio-Cortez,100.0,auto,Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,Democrat,rep,NY,O000172,RepAOC,Q4 (highest),full_house
JordanJim Jordan (R),$13313614,$7423207,55.76%,Raised over $100k,R,Republican,13313614,7423207,55.76,Jim Jordan,100.0,auto,Jim,Jordan,Jim Jordan,Republican,rep,OH,J000289,Jim_Jordan,Q4 (highest),full_house
CraneEli Crane (R),$8437397,$4638205,54.97%,Raised over $100k,R,Republican,8437397,4638205,54.97,Eli Crane,85.7,auto,Eli,Crane,Elijah Crane,Republican,rep,AZ,C001132,RepEliCrane,Q4 (highest),full_house
PelosiNancy Pelosi (D),$10003159,$5340919,53.39%,Raised over $100k,D,Democrat,10003159,5340919,53.39,Nancy Pelosi,100.0,auto,Nancy,Pelosi,Nancy Pelosi,Democrat,rep,CA,P000197,SpeakerPelosi,Q4 (highest),full_house
SpartzVictoria Spartz (R),$811493,$408852,50.38%,Raised over $100k,R,Republican,811493,408852,50.38,Victoria Spartz,100.0,auto,Victoria,Spartz,Victoria Spartz,Republican,rep,IN,S000929,RepSpartz,Q4 (highest),full_house
BurgessMichael Burgess (R),$1200022,$604170,50.35%,Raised over $100k,R,Republican,1200022,604170,50.35,Michael C. Burgess,100.0,manual,,,Michael C. Burgess,Republican,rep,TX,B001248,MichaelCBurgess,Q4 (highest),full_house
MillerMary Miller (R),$1560026,$769100,49.30%,Raised over $100k,R,Republican,1560026,769100,49.3,Mary Miller,88.0,auto,Mary,Miller,Mary E. Miller,Republican,rep,IL,M001211,RepMaryMiller,Q4 (highest),full_house
JacksonRonny Jackson (R),$6312579,$3107198,49.22%,Raised over $100k,R,Republican,6312579,3107198,49.22,Ronny Jackson,100.0,auto,Ronny,Jackson,Ronny Jackson,Republican,rep,TX,J000304,RepRonnyJackson,Q4 (highest),full_house
FrostMaxwell Frost (D),$3930459,$1924972,48.98%,Raised over $100k,D,Democrat,3930459,1924972,48.98,Maxwell Frost,100.0,auto,Maxwell,Frost,Maxwell Frost,Democrat,rep,FL,F000476,RepMaxwellFrost,Q4 (highest),full_house
OmarIlhan Omar (D),$8202075,$3910173,47.67%,Raised over $100k,D,Democrat,8202075,3910173,47.67,Ilhan Omar,100.0,auto,Ilhan,Omar,Ilhan Omar,Democrat,rep,MN,O000173,Ilhan,Q4 (highest),full_house
ComerJames Comer (R),$7596325,$3611561,47.54%,Raised over $100k,R,Republican,7596325,3611561,47.54,James Comer,100.0,auto,James,Comer,James Comer,Republican,rep,KY,C001108,RepJamesComer,Q4 (highest),full_house
BoebertLauren Boebert (R),$4730531,$2178726,46.06%,Raised over $100k,R,Republican,4730531,2178726,46.06,Lauren Boebert,100.0,auto,Lauren,Boebert,Lauren Boebert,Republican,rep,CO,B000825,RepBoebert,Q4 (highest),full_house
CrockettJasmine Crockett (D),$3036171,$1369700,45.11%,Raised over $100k,D,Democrat,3036171,1369700,45.11,Jasmine Crockett,100.0,auto,Jasmine,Crockett,Jasmine Crockett,Democrat,rep,TX,C001130,RepJasmine,Q4 (highest),full_house
AllredColin Allred (D),$92580217,$41272085,44.58%,Raised over $100k,D,Democrat,92580217,41272085,44.58,Colin Z. Allred,100.0,manual,,,Colin Z. Allred,Democrat,rep,TX,A000376,RepColinAllred,Q4 (highest),full_house
HagemanHarriet Hageman (R),$3000255,$1332164,44.40%,Raised over $100k,R,Republican,3000255,1332164,44.4,Harriet Hageman,90.9,auto,Harriet,Hageman,Harriet M. Hageman,Republican,rep,WY,H001096,RepHageman,Q4 (highest),full_house
BiggsAndy Biggs (R),$1354408,$585838,43.25%,Raised over $100k,R,Republican,1354408,585838,43.25,Andy Biggs,100.0,auto,Andy,Biggs,Andy Biggs,Republican,rep,AZ,B001302,RepAndyBiggsAZ,Q4 (highest),full_house
PaulinaAnna Paulina Luna (R),$3662980,$1521833,41.55%,Raised over $100k,R,Republican,3662980,1521833,41.55,Morgan Luttrell,100.0,manual,,,Morgan Luttrell,Republican,rep,TX,L000603,RepLuttrell,Q4 (highest),full_house
CollinsMike Collins (R),$1704745,$696305,40.85%,Raised over $100k,R,Republican,1704745,696305,40.85,Mike Collins,100.0,auto,Mike,Collins,Mike Collins,Republican,rep,GA,C001129,RepMikeCollins,Q4 (highest),full_house
DonaldsByron Donalds (R),$6563388,$2616547,39.87%,Raised over $100k,R,Republican,6563388,2616547,39.87,Byron Donalds,100.0,auto,Byron,Donalds,Byron Donalds,Republican,rep,FL,D000032,RepDonaldsPress,Q4 (highest),full_house
JeffriesHakeem Jeffries (D),$22820569,$8694626,38.10%,Raised over $100k,D,Democrat,22820569,8694626,38.1,Hakeem Jeffries,90.9,auto,Hakeem,Jeffries,Hakeem S. Jeffries,Democrat,rep,NY,J000294,RepJeffries,Q4 (highest),full_house
ZinkeRyan Zinke (R),$9990150,$3732209,37.36%,Raised over $100k,R,Republican,9990150,3732209,37.36,Ryan Zinke,87.0,auto,Ryan,Zinke,Ryan K. Zinke,Republican,rep,MT,Z000018,RepRyanZinke,Q4 (highest),full_house
RaskinJamie Raskin (D),$4783442,$1733201,36.23%,Raised over $100k,D,Democrat,4783442,1733201,36.23,Jamie Raskin,100.0,auto,Jamie,Raskin,Jamie Raskin,Democrat,rep,MD,R000606,RepRaskin,Q4 (highest),full_house
YakymRudy Yakym (R),$3578624,$1264452,35.33%,Raised over $100k,R,Republican,3578624,1264452,35.33,Rudy Yakym,83.3,auto,Rudy,Yakym,Rudy Yakym III,Republican,rep,IN,Y000067,RepRudyYakym,Q4 (highest),full_house
DeMonica De La Cruz (R),$7884300,$2781246,35.28%,Raised over $100k,R,Republican,7884300,2781246,35.28,Monica De La Cruz,100.0,manual,,,Monica De La Cruz,Republican,rep,TX,D000594,RepMonicaDLC,Q4 (highest),full_house
EllzeyJake Ellzey (R),$6480006,$2262349,34.91%,Raised over $100k,R,Republican,6480006,2262349,34.91,Jake Ellzey,100.0,auto,Jake,Ellzey,Jake Ellzey,Republican,rep,TX,E000071,RepEllzey,Q4 (highest),full_house
MillsCory Mills (R),$1609397,$556808,34.60%,Raised over $100k,R,Republican,1609397,556808,34.6,Cory Mills,100.0,auto,Cory,Mills,Cory Mills,Republican,rep,FL,M001216,RepMillsPress,Q4 (highest),full_house
MastBrian Mast (R),$3974043,$1366501,34.39%,Raised over $100k,R,Republican,3974043,1366501,34.39,Brian Mast,87.0,auto,Brian,Mast,Brian J. Mast,Republican,rep,FL,M001199,RepBrianMast,Q4 (highest),full_house
PorterKatie Porter (D),$32119165,$10902528,33.94%,Raised over $100k,D,Democrat,32119165,10902528,33.94,Katie Porter,100.0,manual,,,Katie Porter,Democrat,rep,CA,P000618,RepKatiePorter,Q4 (highest),full_house
PeltolaMary Peltola (D),$13210877,$4395102,33.27%,Raised over $100k,D,Democrat,13210877,4395102,33.27,Mary Sattler Peltola,100.0,manual,,,Mary Sattler Peltola,Democrat,rep,AK,P000619,Rep_Peltola,Q4 (highest),full_house
BushCori Bush (D),$3931525,$1288772,32.78%,Raised over $100k,D,Democrat,3931525,1288772,32.78,Wesley Bell,100.0,manual,,,Wesley Bell,Democrat,rep,MO,B001324,RepWesleyBellMO,Q4 (highest),full_house
JacksonJeff Jackson (D),$768284,$249285,32.45%,Raised over $100k,D,Democrat,768284,249285,32.45,Jeff Jackson,100.0,manual,,,Jeff Jackson,Democrat,rep,NC,J000308,RepJeffJackson,Q4 (highest),full_house
ReschenthalerGuy Reschenthaler (R),$4327277,$1380397,31.90%,Raised over $100k,R,Republican,4327277,1380397,31.9,Guy Reschenthaler,100.0,auto,Guy,Reschenthaler,Guy Reschenthaler,Republican,rep,PA,R000610,GReschenthaler,Q4 (highest),full_house
TlaibRashida Tlaib (D),$8361649,$2660970,31.82%,Raised over $100k,D,Democrat,8361649,2660970,31.82,Rashida Tlaib,100.0,auto,Rashida,Tlaib,Rashida Tlaib,Democrat,rep,MI,T000481,RepRashida,Q4 (highest),full_house
GrijalvaRaul M Grijalva (D),$637820,$191331,30.00%,Raised over $100k,D,Democrat,637820,191331,30.0,Raúl M. Grijalva,100.0,manual,,,Raúl M. Grijalva,Democrat,rep,AZ,G000551,RepRaulGrijalva,Q4 (highest),full_house
CrenshawDan Crenshaw (R),$4056322,$1209494,29.82%,Raised over $100k,R,Republican,4056322,1209494,29.82,Dan Crenshaw,100.0,auto,Dan,Crenshaw,Dan Crenshaw,Republican,rep,TX,C001120,RepDanCrenshaw,Q4 (highest),full_house
VanDerrick Van Orden (R),$7458951,$2210768,29.64%,Raised over $100k,R,Republican,7458951,2210768,29.64,Derrick Van Orden,100.0,manual,,,Derrick Van Orden,Republican,rep,WI,V000135,RepVanOrden,Q4 (highest),full_house
VanJeff Van Drew (R),$3197984,$935417,29.25%,Raised over $100k,R,Republican,3197984,935417,29.25,Jefferson Van Drew,100.0,manual,,,Jefferson Van Drew,Republican,rep,NJ,V000133,Congressman_JVD,Q4 (highest),full_house
RoyChip Roy (R),$2884881,$842825,29.22%,Raised over $100k,R,Republican,2884881,842825,29.22,Chip Roy,100.0,auto,Chip,Roy,Chip Roy,Republican,rep,TX,R000614,RepChipRoy,Q4 (highest),full_house
BowmanJamaal Bowman (D),$5626499,$1632542,29.02%,Raised over $100k,D,Democrat,5626499,1632542,29.02,Jamaal Bowman,100.0,manual,,,Jamaal Bowman,Democrat,rep,NY,B001223,RepBowman,Q4 (highest),full_house
CrowJason Crow (D),$2182039,$614488,28.16%,Raised over $100k,D,Democrat,2182039,614488,28.16,Jason Crow,100.0,auto,Jason,Crow,Jason Crow,Democrat,rep,CO,C001121,RepJasonCrow,Q4 (highest),full_house
PressleyAyanna Pressley (D),$1411509,$394610,27.96%,Raised over $100k,D,Democrat,1411509,394610,27.96,Ayanna Pressley,100.0,auto,Ayanna,Pressley,Ayanna Pressley,Democrat,rep,MA,P000617,RepPressley,Q4 (highest),full_house
