Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
SpartzVictoria Spartz (R),$811493,$408852,50.38%,Raised over $100k,R,Republican,811493,408852,50.38,Victoria Spartz,100.0,auto,Victoria,Spartz,Victoria Spartz,Republican,rep,IN,S000929,RepSpartz,Q4 (highest),full_house
BurgessMichael Burgess (R),$1200022,$604170,50.35%,Raised over $100k,R,Republican,1200022,604170,50.35,Michael C. Burgess,100.0,manual,,,Michael C. Burgess,Republican,rep,TX,B001248,MichaelCBurgess,Q4 (highest),full_house
MillerMary Miller (R),$1560026,$769100,49.30%,Raised over $100k,R,Republican,1560026,769100,49.3,Mary Miller,88.0,auto,Mary,Miller,Mary E. Miller,Republican,rep,IL,M001211,RepMaryMiller,Q4 (highest),full_house
FrostMaxwell Frost (D),$3930459,$1924972,48.98%,Raised over $100k,D,Democrat,3930459,1924972,48.98,Maxwell Frost,100.0,auto,Maxwell,Frost,Maxwell Frost,Democrat,rep,FL,F000476,RepMaxwellFrost,Q4 (highest),full_house
ComerJames Comer (R),$7596325,$3611561,47.54%,Raised over $100k,R,Republican,7596325,3611561,47.54,James Comer,100.0,auto,James,Comer,James Comer,Republican,rep,KY,C001108,RepJamesComer,Q4 (highest),full_house
BoebertLauren Boebert (R),$4730531,$2178726,46.06%,Raised over $100k,R,Republican,4730531,2178726,46.06,Lauren Boebert,100.0,auto,Lauren,Boebert,Lauren Boebert,Republican,rep,CO,B000825,RepBoebert,Q4 (highest),full_house
CrockettJasmine Crockett (D),$3036171,$1369700,45.11%,Raised over $100k,D,Democrat,3036171,1369700,45.11,Jasmine Crockett,100.0,auto,Jasmine,Crockett,Jasmine Crockett,Democrat,rep,TX,C001130,RepJasmine,Q4 (highest),full_house
AllredColin Allred (D),$92580217,$41272085,44.58%,Raised over $100k,D,Democrat,92580217,41272085,44.58,Colin Z. Allred,100.0,manual,,,Colin Z. Allred,Democrat,rep,TX,A000376,RepColinAllred,Q4 (highest),full_house
HagemanHarriet Hageman (R),$3000255,$1332164,44.40%,Raised over $100k,R,Republican,3000255,1332164,44.4,Harriet Hageman,90.9,auto,Harriet,Hageman,Harriet M. Hageman,Republican,rep,WY,H001096,RepHageman,Q4 (highest),full_house
BiggsAndy Biggs (R),$1354408,$585838,43.25%,Raised over $100k,R,Republican,1354408,585838,43.25,Andy Biggs,100.0,auto,Andy,Biggs,Andy Biggs,Republican,rep,AZ,B001302,RepAndyBiggsAZ,Q4 (highest),full_house
PaulinaAnna Paulina Luna (R),$3662980,$1521833,41.55%,Raised over $100k,R,Republican,3662980,1521833,41.55,Morgan Luttrell,100.0,manual,,,Morgan Luttrell,Republican,rep,TX,L000603,RepLuttrell,Q4 (highest),full_house
DonaldsByron Donalds (R),$6563388,$2616547,39.87%,Raised over $100k,R,Republican,6563388,2616547,39.87,Byron Donalds,100.0,auto,Byron,Donalds,Byron Donalds,Republican,rep,FL,D000032,RepDonaldsPress,Q4 (highest),full_house
