Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
SandersBernie Sanders (I),$35728405,$22732498,63.63%,Raised over $100k,I,Independent,35728405,22732498,63.63,Bernie Sanders,82.8,auto,Bernard,Sanders,Bernard Sanders,Independent,sen,VT,S000033,SenSanders,Q4 (highest),all senators kept
WarrenElizabeth Warren (D),$20636522,$11272309,54.62%,Raised over $100k,D,Democrat,20636522,11272309,54.62,Elizabeth Warren,100.0,auto,Elizabeth,Warren,Elizabeth Warren,Democrat,sen,MA,W000817,SenWarren,Q4 (highest),all senators kept
PaulRand Paul (R),$35527402,$18466244,51.98%,Raised over $100k,R,Republican,35527402,18466244,51.98,Rand Paul,100.0,auto,Rand,Paul,Rand Paul,Republican,sen,KY,P000603,SenRandPaul,Q4 (highest),all senators kept
FettermanJohn Fetterman (D),$82199022,$41257356,50.19%,Raised over $100k,D,Democrat,82199022,41257356,50.19,John Fetterman,100.0,auto,John,Fetterman,John Fetterman,Democrat,sen,PA,F000479,SenFettermanPA,Q4 (highest),all senators kept
GrahamLindsey Graham (R),$117401780,$57222742,48.74%,Raised over $100k,R,Republican,117401780,57222742,48.74,Lindsey Graham,100.0,auto,Lindsey,Graham,Lindsey Graham,Republican,sen,SC,G000359,GrahamBlog,Q4 (highest),all senators kept
OssoffJon Ossoff (D),$171895162,$81165841,47.22%,Raised over $100k,D,Democrat,171895162,81165841,47.22,Jon Ossoff,100.0,auto,Jon,Ossoff,Jon Ossoff,Democrat,sen,GA,O000174,SenOssoff,Q4 (highest),all senators kept
KennedyJohn Kennedy (R),$51628839,$24303561,47.07%,Raised over $100k,R,Republican,51628839,24303561,47.07,John Kennedy,100.0,auto,John,Kennedy,John Kennedy,Republican,sen,LA,K000393,SenJohnKennedy,Q4 (highest),all senators kept
KellyMark Kelly (D),$99670347,$44905855,45.05%,Raised over $100k,D,Democrat,99670347,44905855,45.05,Mark Kelly,100.0,auto,Mark,Kelly,Mark Kelly,Democrat,sen,AZ,K000377,SenMarkKelly,Q4 (highest),all senators kept
WarnockRaphael Warnock (D),$184266768,$82704461,44.88%,Raised over $100k,D,Democrat,184266768,82704461,44.88,Raphael Warnock,90.9,auto,Raphael,Warnock,Raphael G. Warnock,Democrat,sen,GA,W000790,SenatorWarnock,Q4 (highest),all senators kept
CruzTed Cruz (R),$105557321,$47077922,44.60%,Raised over $100k,R,Republican,105557321,47077922,44.6,Ted Cruz,100.0,auto,Ted,Cruz,Ted Cruz,Republican,sen,TX,C001098,SenTedCruz,Q4 (highest),all senators kept
