Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method
MalliotakisNicole Malliotakis (R),$3303258,$368457,11.15%,Raised over $100k,R,Republican,3303258,368457,11.15,Nicole Malliotakis,100.0,auto,Nicole,Malliotakis,Nicole Malliotakis,Republican,rep,NY,M000317,RepMalliotakis,Q3,full_house
BergmanJohn Bergman (R),$1948889,$215674,11.07%,Raised over $100k,R,Republican,1948889,215674,11.07,John Bergman,75.0,auto,Jack,Bergman,Jack Bergman,Republican,rep,MI,B001301,RepJackBergman,Q3,full_house
LofgrenZoe Lofgren (D),$2276594,$247668,10.88%,Raised over $100k,D,Democrat,2276594,247668,10.88,Zoe Lofgren,100.0,auto,Zoe,Lofgren,Zoe Lofgren,Democrat,rep,CA,L000397,RepZoeLofgren,Q3,full_house
StauberPete Stauber (R),$2260576,$245854,10.88%,Raised over $100k,R,Republican,2260576,245854,10.88,Pete Stauber,100.0,auto,Pete,Stauber,Pete Stauber,Republican,rep,MN,S001212,RepPeteStauber,Q3,full_house
RamirezDelia Ramirez (D),$1115639,$121089,10.85%,Raised over $100k,D,Democrat,1115639,121089,10.85,Delia Ramirez,89.7,auto,Delia,Ramirez,Delia C. Ramirez,Democrat,rep,IL,R000617,repdeliaramirez,Q3,full_house
CloudMichael Cloud (R),$785113,$80300,10.23%,Raised over $100k,R,Republican,785113,80300,10.23,Michael Cloud,100.0,auto,Michael,Cloud,Michael Cloud,Republican,rep,TX,C001115,RepCloudTX,Q3,full_house
GoldmanDan Goldman (D),$3604421,$365993,10.15%,Raised over $100k,D,Democrat,3604421,365993,10.15,Dan Goldman,78.6,auto,Dan,Goldman,Daniel S. Goldman,Democrat,rep,NY,G000599,RepDanGoldman,Q3,full_house
ScholtenHillary Scholten (D),$5219042,$524791,10.06%,Raised over $100k,D,Democrat,5219042,524791,10.06,Hillary Scholten,91.4,auto,Hillary,Scholten,Hillary J. Scholten,Democrat,rep,MI,S001221,RepScholten,Q3,full_house
SchakowskyJan Schakowsky (D),$1547043,$153233,9.90%,Raised over $100k,D,Democrat,1547043,153233,9.9,Jan Schakowsky,82.4,auto,Janice,Schakowsky,Janice D. Schakowsky,Democrat,rep,IL,S001145,JanSchakowsky,Q3,full_house
TakanoMark Takano (D),$1281860,$125289,9.77%,Raised over $100k,D,Democrat,1281860,125289,9.77,Mark Takano,100.0,auto,Mark,Takano,Mark Takano,Democrat,rep,CA,T000472,RepMarkTakano,Q3,full_house
GreenMark Green (R),$2140409,$207720,9.70%,Raised over $100k,R,Republican,2140409,207720,9.7,Mark E. Green,100.0,manual,,,Mark E. Green,Republican,rep,TN,G000590,RepMarkGreen,Q3,full_house
LevinMike Levin (D),$5512893,$533760,9.68%,Raised over $100k,D,Democrat,5512893,533760,9.68,Mike Levin,100.0,auto,Mike,Levin,Mike Levin,Democrat,rep,CA,L000593,RepMikeLevin,Q3,full_house
SorensenEric Sorensen (D),$4999828,$479638,9.59%,Raised over $100k,D,Democrat,4999828,479638,9.59,Eric Sorensen,100.0,auto,Eric,Sorensen,Eric Sorensen,Democrat,rep,IL,S001225,RepEricSorensen,Q3,full_house
FulcherRuss Fulcher (R),$626646,$59964,9.57%,Raised over $100k,R,Republican,626646,59964,9.57,Russ Fulcher,100.0,auto,Russ,Fulcher,Russ Fulcher,Republican,rep,ID,F000469,RepRussFulcher,Q3,full_house
RyanPat Ryan (D),$7966965,$761213,9.55%,Raised over $100k,D,Democrat,7966965,761213,9.55,Pat Ryan,80.0,auto,Patrick,Ryan,Patrick Ryan,Democrat,rep,NY,R000579,RepPatRyanNY,Q3,full_house
MrvanFrank Mrvan Jr (D),$3182521,$299007,9.40%,Raised over $100k,D,Democrat,3182521,299007,9.4,Frank Mrvan Jr,92.9,auto,Frank,Mrvan,Frank J. Mrvan,Democrat,rep,IN,M001214,RepMrvan,Q3,full_house
