candidate,amount_category,count
Alexandria Ocasio-Cortez,Under $50,131176
Alexandria Ocasio-Cortez,$50–$99,35521
Alexandria Ocasio-Cortez,$100–$199,20370
Alexandria Ocasio-Cortez,$200–$499,6904
Alexandria Ocasio-Cortez,$500–$999,2181
Alexandria Ocasio-Cortez,"$1,000+",890
Bernie Sanders,Under $50,843443
Bernie Sanders,$50–$99,89119
Bernie Sanders,$100–$199,53496
Bernie Sanders,$200–$499,19238
Bernie Sanders,$500–$999,8229
Bernie Sanders,"$1,000+",2944
Eli Crane,Under $50,192984
Eli Crane,$50–$99,18216
Eli Crane,$100–$199,4945
Eli Crane,$200–$499,2652
Eli Crane,$500–$999,1122
Eli Crane,"$1,000+",2082
Elizabeth Warren,Under $50,530597
Elizabeth Warren,$50–$99,87212
Elizabeth Warren,$100–$199,50558
Elizabeth Warren,$200–$499,18739
Elizabeth Warren,$500–$999,6425
Elizabeth Warren,"$1,000+",5404
Marjorie Taylor Greene,Under $50,94738
Marjorie Taylor Greene,$50–$99,27449
Marjorie Taylor Greene,$100–$199,17398
Marjorie Taylor Greene,$200–$499,7061
Marjorie Taylor Greene,$500–$999,2179
Marjorie Taylor Greene,"$1,000+",5026
