candidate,week,count
Alexandria Ocasio-Cortez,2024-12-30,667
Alexandria Ocasio-Cortez,2025-01-06,1325
Alexandria Ocasio-Cortez,2025-01-13,1888
Alexandria Ocasio-Cortez,2025-01-20,3230
Alexandria Ocasio-Cortez,2025-01-27,3471
Alexandria Ocasio-Cortez,2025-02-03,4111
Alexandria Ocasio-Cortez,2025-02-10,2540
Alexandria Ocasio-Cortez,2025-02-17,2931
Alexandria Ocasio-Cortez,2025-02-24,3438
Alexandria Ocasio-Cortez,2025-03-03,2476
Alexandria Ocasio-Cortez,2025-03-10,2747
Alexandria Ocasio-Cortez,2025-03-17,4588
Alexandria Ocasio-Cortez,2025-03-24,4881
Alexandria Ocasio-Cortez,2025-03-31,5154
Alexandria Ocasio-Cortez,2025-04-07,5506
Alexandria Ocasio-Cortez,2025-04-14,6956
Alexandria Ocasio-Cortez,2025-04-21,6112
Alexandria Ocasio-Cortez,2025-04-28,5538
Alexandria Ocasio-Cortez,2025-05-05,4139
Alexandria Ocasio-Cortez,2025-05-12,3983
Alexandria Ocasio-Cortez,2025-05-19,4692
Alexandria Ocasio-Cortez,2025-05-26,4966
Alexandria Ocasio-Cortez,2025-06-02,4366
Alexandria Ocasio-Cortez,2025-06-09,4597
Alexandria Ocasio-Cortez,2025-06-16,4202
Alexandria Ocasio-Cortez,2025-06-23,5132
Alexandria Ocasio-Cortez,2025-06-30,7469
Alexandria Ocasio-Cortez,2025-07-07,6697
Alexandria Ocasio-Cortez,2025-07-14,7268
Alexandria Ocasio-Cortez,2025-07-21,7968
Alexandria Ocasio-Cortez,2025-07-28,6966
Alexandria Ocasio-Cortez,2025-08-04,5952
Alexandria Ocasio-Cortez,2025-08-11,6646
Alexandria Ocasio-Cortez,2025-08-18,7234
Alexandria Ocasio-Cortez,2025-08-25,7623
Alexandria Ocasio-Cortez,2025-09-01,5827
Alexandria Ocasio-Cortez,2025-09-08,5595
Alexandria Ocasio-Cortez,2025-09-15,6806
Alexandria Ocasio-Cortez,2025-09-22,7746
Alexandria Ocasio-Cortez,2025-09-29,3609
Bernie Sanders,2014-12-29,21
Bernie Sanders,2015-01-05,25
Bernie Sanders,2015-01-12,13
Bernie Sanders,2015-01-19,18
Bernie Sanders,2015-01-26,26
Bernie Sanders,2015-02-02,34
Bernie Sanders,2015-02-09,37
Bernie Sanders,2015-02-16,13
Bernie Sanders,2015-02-23,21
Bernie Sanders,2015-03-02,25
Bernie Sanders,2015-03-09,14
Bernie Sanders,2015-03-16,15
Bernie Sanders,2015-03-23,83
Bernie Sanders,2015-03-30,66
Bernie Sanders,2015-04-06,48
Bernie Sanders,2015-04-13,31
Bernie Sanders,2015-04-20,26
Bernie Sanders,2015-04-27,104
Bernie Sanders,2015-05-04,248
Bernie Sanders,2015-05-11,224
Bernie Sanders,2015-05-18,62
Bernie Sanders,2015-05-25,47
Bernie Sanders,2015-06-01,66
Bernie Sanders,2015-06-08,32
Bernie Sanders,2015-06-15,12
Bernie Sanders,2015-06-22,23
Bernie Sanders,2015-06-29,26
Bernie Sanders,2015-07-13,3
Bernie Sanders,2015-09-28,3
Bernie Sanders,2015-10-05,1
Bernie Sanders,2015-10-26,1
Bernie Sanders,2015-11-09,1
Bernie Sanders,2015-11-23,1
Bernie Sanders,2015-12-07,1
Bernie Sanders,2016-01-04,1
Bernie Sanders,2016-01-25,1
Bernie Sanders,2016-02-08,1
Bernie Sanders,2016-02-29,1
Bernie Sanders,2016-03-07,1
Bernie Sanders,2016-03-28,3
Bernie Sanders,2016-04-25,2
Bernie Sanders,2016-05-23,1
Bernie Sanders,2016-05-30,1
Bernie Sanders,2016-06-27,2
Bernie Sanders,2016-07-25,4
Bernie Sanders,2016-08-08,6
Bernie Sanders,2016-08-22,2
Bernie Sanders,2016-08-29,2
Bernie Sanders,2016-09-26,4
Bernie Sanders,2016-10-03,4
Bernie Sanders,2016-10-10,6
Bernie Sanders,2016-10-17,21
Bernie Sanders,2016-10-24,67
Bernie Sanders,2016-10-31,75
Bernie Sanders,2016-11-07,2622
Bernie Sanders,2016-11-14,480
Bernie Sanders,2016-11-21,108
Bernie Sanders,2016-11-28,71
Bernie Sanders,2016-12-05,200
Bernie Sanders,2016-12-12,172
Bernie Sanders,2016-12-19,78
Bernie Sanders,2016-12-26,152
Bernie Sanders,2017-01-02,42
Bernie Sanders,2017-01-09,30
Bernie Sanders,2017-01-16,19
Bernie Sanders,2017-01-23,11
Bernie Sanders,2017-01-30,13
Bernie Sanders,2017-02-06,14
Bernie Sanders,2017-02-13,18
Bernie Sanders,2017-02-20,10
Bernie Sanders,2017-02-27,9
Bernie Sanders,2017-03-06,16
Bernie Sanders,2017-03-13,18
Bernie Sanders,2017-03-20,14
Bernie Sanders,2017-03-27,10
Bernie Sanders,2017-04-03,274
Bernie Sanders,2017-04-10,682
Bernie Sanders,2017-04-17,246
Bernie Sanders,2017-04-24,33
Bernie Sanders,2017-05-01,25
Bernie Sanders,2017-05-08,36
Bernie Sanders,2017-05-15,47
Bernie Sanders,2017-05-22,21
Bernie Sanders,2017-05-29,10
Bernie Sanders,2017-06-05,25
Bernie Sanders,2017-06-12,53
Bernie Sanders,2017-06-19,521
Bernie Sanders,2017-06-26,66
Bernie Sanders,2017-07-03,712
Bernie Sanders,2017-07-10,141
Bernie Sanders,2017-07-17,54
Bernie Sanders,2017-07-24,39
Bernie Sanders,2017-07-31,458
Bernie Sanders,2017-08-07,666
Bernie Sanders,2017-08-14,217
Bernie Sanders,2017-08-21,270
Bernie Sanders,2017-08-28,697
Bernie Sanders,2017-09-04,106
Bernie Sanders,2017-09-11,660
Bernie Sanders,2017-09-18,71
Bernie Sanders,2017-09-25,64
Bernie Sanders,2017-10-02,48
Bernie Sanders,2017-10-09,119
Bernie Sanders,2017-10-16,52
Bernie Sanders,2017-10-23,58
Bernie Sanders,2017-10-30,35
Bernie Sanders,2017-11-06,497
Bernie Sanders,2017-11-13,64
Bernie Sanders,2017-11-20,63
Bernie Sanders,2017-11-27,773
Bernie Sanders,2017-12-04,567
Bernie Sanders,2017-12-11,95
Bernie Sanders,2017-12-18,324
Bernie Sanders,2017-12-25,109
Bernie Sanders,2018-01-01,748
Bernie Sanders,2018-01-08,230
Bernie Sanders,2018-01-15,158
Bernie Sanders,2018-01-22,785
Bernie Sanders,2018-01-29,609
Bernie Sanders,2018-02-05,557
Bernie Sanders,2018-02-12,467
Bernie Sanders,2018-02-19,526
Bernie Sanders,2018-02-26,1624
Bernie Sanders,2018-03-05,291
Bernie Sanders,2018-03-12,859
Bernie Sanders,2018-03-19,795
Bernie Sanders,2018-03-26,1824
Bernie Sanders,2018-04-02,298
Bernie Sanders,2018-04-09,576
Bernie Sanders,2018-04-16,861
Bernie Sanders,2018-04-23,812
Bernie Sanders,2018-04-30,908
Bernie Sanders,2018-05-07,562
Bernie Sanders,2018-05-14,698
Bernie Sanders,2018-05-21,1590
Bernie Sanders,2018-05-28,1115
Bernie Sanders,2018-06-04,405
Bernie Sanders,2018-06-11,113
Bernie Sanders,2018-06-18,578
Bernie Sanders,2018-06-25,1757
Bernie Sanders,2018-07-02,1004
Bernie Sanders,2018-07-09,519
Bernie Sanders,2018-07-16,1353
Bernie Sanders,2018-07-23,2572
Bernie Sanders,2018-07-30,1842
Bernie Sanders,2018-08-06,459
Bernie Sanders,2018-08-13,1010
Bernie Sanders,2018-08-20,793
Bernie Sanders,2018-08-27,3074
Bernie Sanders,2018-09-03,1179
Bernie Sanders,2018-09-10,494
Bernie Sanders,2018-09-17,1749
Bernie Sanders,2018-09-24,3689
Bernie Sanders,2018-10-01,1250
Bernie Sanders,2018-10-08,1996
Bernie Sanders,2018-10-15,1330
Bernie Sanders,2018-10-22,2418
Bernie Sanders,2018-10-29,3737
Bernie Sanders,2018-11-05,464
Bernie Sanders,2018-11-12,17
Bernie Sanders,2018-11-19,9
Bernie Sanders,2018-11-26,1007
Bernie Sanders,2018-12-03,246
Bernie Sanders,2018-12-10,1178
Bernie Sanders,2018-12-17,1037
Bernie Sanders,2018-12-24,4706
Bernie Sanders,2018-12-31,355
Bernie Sanders,2019-01-07,77
Bernie Sanders,2019-01-14,45
Bernie Sanders,2019-01-21,95
Bernie Sanders,2019-01-28,280
Bernie Sanders,2019-02-04,220
Bernie Sanders,2019-02-11,219
Bernie Sanders,2019-02-18,135
Bernie Sanders,2019-02-25,263
Bernie Sanders,2019-03-04,98
Bernie Sanders,2019-03-11,108
Bernie Sanders,2019-03-18,144
Bernie Sanders,2019-03-25,313
Bernie Sanders,2019-04-01,53
Bernie Sanders,2019-04-08,1
Bernie Sanders,2019-04-29,3
Bernie Sanders,2019-06-03,1
Bernie Sanders,2019-06-17,1
Bernie Sanders,2019-06-24,2
Bernie Sanders,2019-07-29,1
Bernie Sanders,2019-08-12,1
Bernie Sanders,2019-08-26,2
Bernie Sanders,2019-09-23,1
Bernie Sanders,2019-09-30,1
Bernie Sanders,2019-10-28,1
Bernie Sanders,2019-11-25,1
