candidate,week,count
Alexandria Ocasio-Cortez,2016-04-18,2
Alexandria Ocasio-Cortez,2016-12-19,4
Alexandria Ocasio-Cortez,2017-05-08,2
Alexandria Ocasio-Cortez,2017-05-15,54
Alexandria Ocasio-Cortez,2017-05-22,54
Alexandria Ocasio-Cortez,2017-05-29,84
Alexandria Ocasio-Cortez,2017-06-05,64
Alexandria Ocasio-Cortez,2017-06-12,40
Alexandria Ocasio-Cortez,2017-06-19,68
Alexandria Ocasio-Cortez,2017-06-26,28
Alexandria Ocasio-Cortez,2017-07-03,50
Alexandria Ocasio-Cortez,2017-07-10,52
Alexandria Ocasio-Cortez,2017-07-17,26
Alexandria Ocasio-Cortez,2017-07-24,30
Alexandria Ocasio-Cortez,2017-07-31,66
Alexandria Ocasio-Cortez,2017-08-07,132
Alexandria Ocasio-Cortez,2017-08-14,152
Alexandria Ocasio-Cortez,2017-08-21,90
Alexandria Ocasio-Cortez,2017-08-28,72
Alexandria Ocasio-Cortez,2017-09-04,26
Alexandria Ocasio-Cortez,2017-09-11,76
Alexandria Ocasio-Cortez,2017-09-18,112
Alexandria Ocasio-Cortez,2017-09-25,154
Alexandria Ocasio-Cortez,2017-10-02,68
Alexandria Ocasio-Cortez,2017-10-09,62
Alexandria Ocasio-Cortez,2017-10-16,42
Alexandria Ocasio-Cortez,2017-10-23,118
Alexandria Ocasio-Cortez,2017-10-30,172
Alexandria Ocasio-Cortez,2017-11-06,152
Alexandria Ocasio-Cortez,2017-11-13,86
Alexandria Ocasio-Cortez,2017-11-20,48
Alexandria Ocasio-Cortez,2017-11-27,128
Alexandria Ocasio-Cortez,2017-12-04,100
Alexandria Ocasio-Cortez,2017-12-11,184
Alexandria Ocasio-Cortez,2017-12-18,94
Alexandria Ocasio-Cortez,2017-12-25,70
Alexandria Ocasio-Cortez,2018-01-01,94
Alexandria Ocasio-Cortez,2018-01-08,130
Alexandria Ocasio-Cortez,2018-01-15,178
Alexandria Ocasio-Cortez,2018-01-22,152
Alexandria Ocasio-Cortez,2018-01-29,134
Alexandria Ocasio-Cortez,2018-02-05,96
Alexandria Ocasio-Cortez,2018-02-12,62
Alexandria Ocasio-Cortez,2018-02-19,84
Alexandria Ocasio-Cortez,2018-02-26,92
Alexandria Ocasio-Cortez,2018-03-05,186
Alexandria Ocasio-Cortez,2018-03-12,184
Alexandria Ocasio-Cortez,2018-03-19,156
Alexandria Ocasio-Cortez,2018-03-26,118
Alexandria Ocasio-Cortez,2018-04-02,96
Alexandria Ocasio-Cortez,2018-04-09,172
Alexandria Ocasio-Cortez,2018-04-16,102
Alexandria Ocasio-Cortez,2018-04-23,132
Alexandria Ocasio-Cortez,2018-04-30,86
Alexandria Ocasio-Cortez,2018-05-07,162
Alexandria Ocasio-Cortez,2018-05-14,154
Alexandria Ocasio-Cortez,2018-05-21,192
Alexandria Ocasio-Cortez,2018-05-28,184
Alexandria Ocasio-Cortez,2018-06-04,224
Alexandria Ocasio-Cortez,2018-06-11,190
Alexandria Ocasio-Cortez,2018-06-18,238
Alexandria Ocasio-Cortez,2018-06-25,244
Alexandria Ocasio-Cortez,2018-07-02,114
Alexandria Ocasio-Cortez,2018-07-09,68
Alexandria Ocasio-Cortez,2018-07-16,74
Alexandria Ocasio-Cortez,2018-07-23,72
Alexandria Ocasio-Cortez,2018-07-30,32
Alexandria Ocasio-Cortez,2018-08-06,84
Alexandria Ocasio-Cortez,2018-08-13,42
Alexandria Ocasio-Cortez,2018-08-20,84
Alexandria Ocasio-Cortez,2018-08-27,78
Alexandria Ocasio-Cortez,2018-09-03,42
Alexandria Ocasio-Cortez,2018-09-10,98
Alexandria Ocasio-Cortez,2018-09-17,38
Alexandria Ocasio-Cortez,2018-09-24,44
Alexandria Ocasio-Cortez,2018-10-01,80
Alexandria Ocasio-Cortez,2018-10-08,56
Alexandria Ocasio-Cortez,2018-10-15,40
Alexandria Ocasio-Cortez,2018-10-22,46
Alexandria Ocasio-Cortez,2018-10-29,36
