Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method,state_abbrev,district_code,margin_of_victory,competitive,winner_share,total_votes,handle_lower,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,nominate_abs
TaylorMarjorie Taylor Greene (R),$7932166,$5763400,72.66%,Raised over $100k,R,Republican,7932166,5763400,72.66,Marjorie Taylor Greene,100.0,manual,,,Marjorie Taylor Greene,Republican,rep,GA,G000596,FmrRepMTG,Q4 (highest),full_house,GA,14.0,28.737589402572677,0.0,64.36879470128633,378205.0,fmrrepmtg,0.8,-0.6,0.668,-0.554,0.8
Ocasio-CortezAlexandria Ocasio-Cortez (D),$15160101,$10602414,69.94%,Raised over $100k,D,Democrat,15160101,10602414,69.94,Alexandria Ocasio-Cortez,100.0,auto,Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,Democrat,rep,NY,O000172,RepAOC,Q4 (highest),full_house,NY,14.0,31.38831819712371,0.0,57.81706739801968,204917.0,repaoc,-0.33,-0.944,-0.739,-0.674,0.33
JordanJim Jordan (R),$13313614,$7423207,55.76%,Raised over $100k,R,Republican,13313614,7423207,55.76,Jim Jordan,100.0,auto,Jim,Jordan,Jim Jordan,Republican,rep,OH,J000289,Jim_Jordan,Q4 (highest),full_house,OH,4.0,36.9216587091247,0.0,68.46082935456235,399202.0,jim_jordan,0.712,-0.182,0.671,-0.199,0.712
CraneEli Crane (R),$8437397,$4638205,54.97%,Raised over $100k,R,Republican,8437397,4638205,54.97,Eli Crane,85.7,auto,Eli,Crane,Elijah Crane,Republican,rep,AZ,C001132,RepEliCrane,Q4 (highest),full_house,AZ,2.0,8.968311964392477,1.0,54.47738976603655,406431.0,repelicrane,0.747,-0.665,0.738,-0.675,0.747
PelosiNancy Pelosi (D),$10003159,$5340919,53.39%,Raised over $100k,D,Democrat,10003159,5340919,53.39,Nancy Pelosi,100.0,auto,Nancy,Pelosi,Nancy Pelosi,Democrat,rep,CA,P000197,SpeakerPelosi,Q4 (highest),full_house,CA,11.0,62.06846725703383,0.0,81.03423362851692,339111.0,speakerpelosi,-0.489,-0.178,-0.552,0.236,0.489
SpartzVictoria Spartz (R),$811493,$408852,50.38%,Raised over $100k,R,Republican,811493,408852,50.38,Victoria Spartz,100.0,auto,Victoria,Spartz,Victoria Spartz,Republican,rep,IN,S000929,RepSpartz,Q4 (highest),full_house,IN,5.0,18.579692876471302,0.0,56.59541653210989,359204.0,repspartz,0.49,-0.281,0.559,-0.339,0.49
BurgessMichael Burgess (R),$1200022,$604170,50.35%,Raised over $100k,R,Republican,1200022,604170,50.35,Michael C. Burgess,100.0,manual,,,Michael C. Burgess,Republican,rep,TX,B001248,MichaelCBurgess,Q4 (highest),full_house,TX,26.0,26.39826788560013,0.0,62.069835516068665,388427.0,michaelcburgess,0.565,-0.164,0.504,-0.138,0.565
MillerMary Miller (R),$1560026,$769100,49.30%,Raised over $100k,R,Republican,1560026,769100,49.3,Mary Miller,88.0,auto,Mary,Miller,Mary E. Miller,Republican,rep,IL,M001211,RepMaryMiller,Q4 (highest),full_house,IL,15.0,99.09165339711312,0.0,99.54582669855655,310234.0,repmarymiller,0.791,-0.154,0.718,-0.132,0.791
JacksonRonny Jackson (R),$6312579,$3107198,49.22%,Raised over $100k,R,Republican,6312579,3107198,49.22,Ronny Jackson,100.0,auto,Ronny,Jackson,Ronny Jackson,Republican,rep,TX,J000304,RepRonnyJackson,Q4 (highest),full_house,TX,13.0,100.0,0.0,100.0,240622.0,repronnyjackson,0.785,0.157,0.77,0.125,0.785
FrostMaxwell Frost (D),$3930459,$1924972,48.98%,Raised over $100k,D,Democrat,3930459,1924972,48.98,Maxwell Frost,100.0,auto,Maxwell,Frost,Maxwell Frost,Democrat,rep,FL,F000476,RepMaxwellFrost,Q4 (highest),full_house,FL,10.0,24.74777856074798,0.0,62.373889280374,290915.0,repmaxwellfrost,-0.44,-0.711,-0.422,-0.708,0.44
OmarIlhan Omar (D),$8202075,$3910173,47.67%,Raised over $100k,D,Democrat,8202075,3910173,47.67,Ilhan Omar,100.0,auto,Ilhan,Omar,Ilhan Omar,Democrat,rep,MN,O000173,Ilhan,Q4 (highest),full_house,MN,5.0,49.80899993448171,0.0,74.36781969365926,351047.0,ilhan,-0.296,-0.955,-0.981,-0.192,0.296
ComerJames Comer (R),$7596325,$3611561,47.54%,Raised over $100k,R,Republican,7596325,3611561,47.54,James Comer,100.0,auto,James,Comer,James Comer,Republican,rep,KY,C001108,RepJamesComer,Q4 (highest),full_house,KY,1.0,49.43193408484181,0.0,74.7159670424209,338253.0,repjamescomer,0.592,-0.073,0.597,-0.127,0.592
BoebertLauren Boebert (R),$4730531,$2178726,46.06%,Raised over $100k,R,Republican,4730531,2178726,46.06,Lauren Boebert,100.0,auto,Lauren,Boebert,Lauren Boebert,Republican,rep,CO,B000825,RepBoebert,Q4 (highest),full_house,CO,3.0,4.981474168224111,1.0,50.79850988421669,397553.0,repboebert,0.718,-0.521,0.679,-0.484,0.718
CrockettJasmine Crockett (D),$3036171,$1369700,45.11%,Raised over $100k,D,Democrat,3036171,1369700,45.11,Jasmine Crockett,100.0,auto,Jasmine,Crockett,Jasmine Crockett,Democrat,rep,TX,C001130,RepJasmine,Q4 (highest),full_house,TX,30.0,69.78417266187051,0.0,84.89208633093526,232825.0,repjasmine,-0.5,-0.202,-0.503,-0.205,0.5
AllredColin Allred (D),$92580217,$41272085,44.58%,Raised over $100k,D,Democrat,92580217,41272085,44.58,Colin Z. Allred,100.0,manual,,,Colin Z. Allred,Democrat,rep,TX,A000376,RepColinAllred,Q4 (highest),full_house,TX,32.0,23.48535687246197,0.0,60.454952164636246,232464.0,repcolinallred,-0.422,0.723,-0.445,0.875,0.422
