Prefix,FirstName,MiddleName,LastName,Suffix,Address,City,State,Zip+4,St/Dis,BioguideID,Party,Blue Dogs,Progressives,New Dems,Problem Solvers,Republican Governance Group / Tuesday Group,Freedom Caucus,Main Street Caucus,Republican Study Committee,The Squad / Justice Democrats,Republican Main Street Partnership,,,,
,,,,,,,,,,,,https://bluedogcaucus-golden.house.gov/members,https://progressives.house.gov/caucus-members,https://newdemocratcoalition.house.gov/members,https://problemsolverscaucus.house.gov/caucus-members,https://republicangovernance.com/,https://en.wikipedia.org/wiki/Freedom_Caucus,https://mainstreetcaucus.house.gov/membership,https://rsc-hern.house.gov/about/membership,https://justicedemocrats.com/candidates/#incumbent,https://www.republicanmainstreet.org/members,,,,
The Honorable,Alma,S.,Adams,, 2436 Rayburn House Office Building,Washington,DC,20515-3312,NC12,A000370,D,,Yes,,,,,,,,,,,,
The Honorable,Robert,B.,Aderholt,, 266 Cannon House Office Building,Washington,DC,20515-0104,AL04,A000055,R,,,,,,,,Yes,,,,,,
The Honorable,Pete,,Aguilar,, 108 Cannon House Office Building,Washington,DC,20515-0533,CA33,A000371,D,,,Yes,,,,,,,,,,,
The Honorable,Mark,,Alford,, 1516 Longworth House Office Building,Washington,DC,20515-2504,MO04,A000379,R,,,,,,,,Yes,,,,,,
The Honorable,Rick,W.,Allen,, 462 Cannon House Office Building,Washington,DC,20515-1012,GA12,A000372,R,,,,,,,,Yes,,,,,,
The Honorable,Colin,Z.,Allred,, 348 Cannon House Office Building,Washington,DC,20515-4332,TX32,A000376,D,,,Yes,,,,,,,,,,,
The Honorable,Gabe,,Amo,, 2233 Rayburn House Office Building,Washington,DC,20515-3901,RI01,A000380,D,,,,,,,,,,,,,,
The Honorable,Mark,E.,Amodei,, 104 Cannon House Office Building,Washington,DC,20515-2802,NV02,A000369,R,,,,,Yes,,,,,,,,,
The Honorable,Kelly,,Armstrong,, 2235 Rayburn House Office Building,Washington,DC,20515-3400,ND00,A000377,R,,,,,Yes,,Yes,Yes,,yes,,,,
The Honorable,Jodey,C.,Arrington,, 1107 Longworth House Office Building,Washington,DC,20515-4319,TX19,A000375,R,,,,,,,,Yes,,,,,,
The Honorable,Jake,,Auchincloss,, 1524 Longworth House Office Building,Washington,DC,20515-2104,MA04,A000148,D,,,,,,,,,,,,,,
