screen_name,followers,following,tweets_count,verified,created_at
FmrRepMTG,5429447,906,9883,True,Wed Dec 30 18:57:01 +0000 2020
RepAOC,752611,603,2118,False,Sat Dec 29 19:59:11 +0000 2018
Jim_Jordan,6816710,3635,16754,True,Tue Dec 16 17:20:24 +0000 2008
RepEliCrane,162497,337,8732,True,Fri Dec 30 18:30:38 +0000 2022
SpeakerPelosi,8071415,492,15541,True,Thu Aug 07 15:35:02 +0000 2008
RepSpartz,93960,430,2443,True,Fri Jan 01 03:19:03 +0000 2021
MichaelCBurgess,35010,3087,11786,True,Wed Aug 06 15:25:19 +0000 2008
RepMaryMiller,207282,1304,5484,True,Mon Dec 28 20:35:13 +0000 2020
RepRonnyJackson,40327,171,2286,True,Thu Dec 24 00:29:18 +0000 2020
RepMaxwellFrost,67323,314,2187,True,Thu Dec 29 16:04:42 +0000 2022
Ilhan,1244589,525,6731,True,Mon Jan 07 17:53:13 +0000 2019
RepJamesComer,280011,289,6203,True,Sun Jun 21 23:52:56 +0000 2020
RepBoebert,1499780,574,3226,True,Sun Dec 27 00:24:52 +0000 2020
RepJasmine,281341,839,4260,True,Mon Jan 02 18:07:13 +0000 2023
RepColinAllred,53638,396,6228,False,Thu Dec 27 18:21:10 +0000 2018
RepHageman,96156,205,1328,True,Fri Oct 07 18:42:50 +0000 2022
RepAndyBiggsAZ,1092568,1925,28280,True,Wed Jan 04 14:28:51 +0000 2017
RepLuttrell,41332,477,2452,True,Wed Dec 14 14:04:51 +0000 2022
RepMikeCollins,133775,477,8332,True,Fri Dec 09 01:47:56 +0000 2022
RepDonaldsPress,537872,490,8172,True,Tue Dec 29 17:14:49 +0000 2020
RepJeffries,1042003,1104,6696,True,Wed Jan 18 21:54:44 +0000 2012
RepRyanZinke,16263,1116,2580,True,Wed Dec 31 17:32:01 +0000 2014
RepRaskin,940372,5722,13651,True,Thu Dec 08 17:00:41 +0000 2016
RepRudyYakym,11073,600,3027,True,Wed Dec 21 20:45:07 +0000 2022
RepMonicaDLC,8669,604,2368,True,Wed Nov 09 17:29:41 +0000 2022
RepEllzey,5557,163,812,True,Mon Mar 01 23:01:32 +0000 2021
RepMillsPress,60369,431,2167,True,Thu Jan 05 23:13:50 +0000 2023
RepBrianMast,148643,561,10652,True,Wed Dec 28 13:41:21 +0000 2016
Rep_Peltola,9268,191,1055,False,Wed Sep 14 16:02:54 +0000 2022
RepWesleyBellMO,2504,619,761,True,Fri Jan 03 15:52:06 +0000 2025
RepJeffJackson,3814,218,81,True,Fri Jan 06 18:04:55 +0000 2023
GReschenthaler,38271,1014,6682,True,Mon Nov 16 22:15:01 +0000 2015
RepRashida,556557,440,4773,True,Mon Dec 31 16:01:33 +0000 2018
RepRaulGrijalva,38586,710,10406,True,Fri Apr 03 16:55:32 +0000 2009
RepDanCrenshaw,652904,162,3952,True,Thu Jan 03 18:33:28 +0000 2019
RepVanOrden,9521,265,1429,True,Fri Dec 02 20:36:11 +0000 2022
Congressman_JVD,31725,320,1297,True,Wed Dec 08 20:21:30 +0000 2021
RepChipRoy,303751,396,16571,True,Wed Jan 09 00:06:11 +0000 2019
RepBowman,74838,247,4731,False,Wed Dec 30 21:07:08 +0000 2020
RepJasonCrow,176024,908,7398,True,Tue Jan 01 19:59:44 +0000 2019
