Name,Total Raised,Total from Small Donors,Percent from Small Donors*,total money raised,party_code,party_full,Total Raised_num,Total from Small Donors_num,pct_small_donors,clean_name,match_score,match_method,first,last,official_full,party,chamber,state,bioguide,twitter,quartile,sample_method,handle_lower,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,nominate_number_of_votes,nominate_abs,state_abbrev,district_code,margin_of_victory,competitive,winner_share,total_votes,terms_served,is_female,age_in_2024
TaylorMarjorie Taylor Greene (R),$7932166,$5763400,72.66%,Raised over $100k,R,Republican,7932166,5763400,72.66,Marjorie Taylor Greene,100.0,manual,,,Marjorie Taylor Greene,Republican,rep,GA,G000596,FmrRepMTG,Q4 (highest),full_house,fmrrepmtg,0.8,-0.6,0.668,-0.554,1055.0,0.8,GA,14.0,28.737589402572674,0.0,64.36879470128633,378205.0,,0,50.0
Ocasio-CortezAlexandria Ocasio-Cortez (D),$15160101,$10602414,69.94%,Raised over $100k,D,Democrat,15160101,10602414,69.94,Alexandria Ocasio-Cortez,100.0,auto,Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,Democrat,rep,NY,O000172,RepAOC,Q4 (highest),full_house,repaoc,-0.33,-0.944,-0.739,-0.674,1087.0,0.33,NY,14.0,31.38831819712371,0.0,57.81706739801968,204917.0,4.0,1,35.0
JordanJim Jordan (R),$13313614,$7423207,55.76%,Raised over $100k,R,Republican,13313614,7423207,55.76,Jim Jordan,100.0,auto,Jim,Jordan,Jim Jordan,Republican,rep,OH,J000289,Jim_Jordan,Q4 (highest),full_house,jim_jordan,0.712,-0.182,0.671,-0.199,1100.0,0.712,OH,4.0,36.9216587091247,0.0,68.46082935456235,399202.0,10.0,0,60.0
CraneEli Crane (R),$8437397,$4638205,54.97%,Raised over $100k,R,Republican,8437397,4638205,54.97,Eli Crane,85.7,auto,Eli,Crane,Elijah Crane,Republican,rep,AZ,C001132,RepEliCrane,Q4 (highest),full_house,repelicrane,0.747,-0.665,0.738,-0.675,1109.0,0.747,AZ,2.0,8.968311964392477,1.0,54.477389766036545,406431.0,2.0,0,44.0
PelosiNancy Pelosi (D),$10003159,$5340919,53.39%,Raised over $100k,D,Democrat,10003159,5340919,53.39,Nancy Pelosi,100.0,auto,Nancy,Pelosi,Nancy Pelosi,Democrat,rep,CA,P000197,SpeakerPelosi,Q4 (highest),full_house,speakerpelosi,-0.489,-0.178,-0.552,0.236,1015.0,0.489,CA,11.0,62.06846725703383,0.0,81.03423362851692,339111.0,20.0,1,84.0
SpartzVictoria Spartz (R),$811493,$408852,50.38%,Raised over $100k,R,Republican,811493,408852,50.38,Victoria Spartz,100.0,auto,Victoria,Spartz,Victoria Spartz,Republican,rep,IN,S000929,RepSpartz,Q4 (highest),full_house,repspartz,0.49,-0.281,0.559,-0.339,1036.0,0.49,IN,5.0,18.579692876471306,0.0,56.59541653210989,359204.0,3.0,1,46.0
BurgessMichael Burgess (R),$1200022,$604170,50.35%,Raised over $100k,R,Republican,1200022,604170,50.35,Michael C. Burgess,100.0,manual,,,Michael C. Burgess,Republican,rep,TX,B001248,MichaelCBurgess,Q4 (highest),full_house,michaelcburgess,0.565,-0.164,0.504,-0.138,1090.0,0.565,TX,26.0,26.398267885600134,0.0,62.069835516068665,388427.0,,0,74.0
MillerMary Miller (R),$1560026,$769100,49.30%,Raised over $100k,R,Republican,1560026,769100,49.3,Mary Miller,88.0,auto,Mary,Miller,Mary E. Miller,Republican,rep,IL,M001211,RepMaryMiller,Q4 (highest),full_house,repmarymiller,0.791,-0.154,0.718,-0.132,1104.0,0.791,IL,15.0,99.09165339711313,0.0,99.54582669855657,310234.0,3.0,1,65.0
JacksonRonny Jackson (R),$6312579,$3107198,49.22%,Raised over $100k,R,Republican,6312579,3107198,49.22,Ronny Jackson,100.0,auto,Ronny,Jackson,Ronny Jackson,Republican,rep,TX,J000304,RepRonnyJackson,Q4 (highest),full_house,repronnyjackson,0.785,0.157,0.77,0.125,1074.0,0.785,TX,13.0,100.0,0.0,100.0,240622.0,3.0,0,57.0
FrostMaxwell Frost (D),$3930459,$1924972,48.98%,Raised over $100k,D,Democrat,3930459,1924972,48.98,Maxwell Frost,100.0,auto,Maxwell,Frost,Maxwell Frost,Democrat,rep,FL,F000476,RepMaxwellFrost,Q4 (highest),full_house,repmaxwellfrost,-0.44,-0.711,-0.422,-0.708,1109.0,0.44,FL,10.0,24.74777856074798,0.0,62.373889280373994,290915.0,2.0,0,27.0
OmarIlhan Omar (D),$8202075,$3910173,47.67%,Raised over $100k,D,Democrat,8202075,3910173,47.67,Ilhan Omar,100.0,auto,Ilhan,Omar,Ilhan Omar,Democrat,rep,MN,O000173,Ilhan,Q4 (highest),full_house,ilhan,-0.296,-0.955,-0.981,-0.192,1100.0,0.296,MN,5.0,49.80899993448171,0.0,74.36781969365926,351047.0,4.0,1,42.0
ComerJames Comer (R),$7596325,$3611561,47.54%,Raised over $100k,R,Republican,7596325,3611561,47.54,James Comer,100.0,auto,James,Comer,James Comer,Republican,rep,KY,C001108,RepJamesComer,Q4 (highest),full_house,repjamescomer,0.592,-0.073,0.597,-0.127,1104.0,0.592,KY,1.0,49.431934084841814,0.0,74.7159670424209,338253.0,6.0,0,52.0
BoebertLauren Boebert (R),$4730531,$2178726,46.06%,Raised over $100k,R,Republican,4730531,2178726,46.06,Lauren Boebert,100.0,auto,Lauren,Boebert,Lauren Boebert,Republican,rep,CO,B000825,RepBoebert,Q4 (highest),full_house,repboebert,0.718,-0.521,0.679,-0.484,1063.0,0.718,CO,3.0,4.981474168224111,1.0,50.79850988421669,397553.0,3.0,1,38.0
CrockettJasmine Crockett (D),$3036171,$1369700,45.11%,Raised over $100k,D,Democrat,3036171,1369700,45.11,Jasmine Crockett,100.0,auto,Jasmine,Crockett,Jasmine Crockett,Democrat,rep,TX,C001130,RepJasmine,Q4 (highest),full_house,repjasmine,-0.5,-0.202,-0.503,-0.205,1073.0,0.5,TX,30.0,69.78417266187051,0.0,84.89208633093526,232825.0,2.0,1,43.0
AllredColin Allred (D),$92580217,$41272085,44.58%,Raised over $100k,D,Democrat,92580217,41272085,44.58,Colin Z. Allred,100.0,manual,,,Colin Z. Allred,Democrat,rep,TX,A000376,RepColinAllred,Q4 (highest),full_house,repcolinallred,-0.422,0.723,-0.445,0.875,1109.0,0.422,TX,32.0,23.48535687246197,0.0,60.454952164636246,232464.0,,0,41.0
HagemanHarriet Hageman (R),$3000255,$1332164,44.40%,Raised over $100k,R,Republican,3000255,1332164,44.4,Harriet Hageman,90.9,auto,Harriet,Hageman,Harriet M. Hageman,Republican,rep,WY,H001096,RepHageman,Q4 (highest),full_house,rephageman,0.651,-0.35,0.654,-0.377,1097.0,0.651,WY,1.0,,,,,2.0,1,62.0
BiggsAndy Biggs (R),$1354408,$585838,43.25%,Raised over $100k,R,Republican,1354408,585838,43.25,Andy Biggs,100.0,auto,Andy,Biggs,Andy Biggs,Republican,rep,AZ,B001302,RepAndyBiggsAZ,Q4 (highest),full_house,repandybiggsaz,0.818,-0.575,0.728,-0.686,1109.0,0.818,AZ,5.0,20.776361420053476,0.0,60.38818071002674,423308.0,5.0,0,66.0
