"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"TaylorMarjorie Taylor Greene (R)","$7932166","$5763400","72.66%","Raised over $100k"
"Ocasio-CortezAlexandria Ocasio-Cortez (D)","$15160101","$10602414","69.94%","Raised over $100k"
"SandersBernie Sanders (I)","$35728405","$22732498","63.63%","Raised over $100k"
"JordanJim Jordan (R)","$13313614","$7423207","55.76%","Raised over $100k"
"CraneEli Crane (R)","$8437397","$4638205","54.97%","Raised over $100k"
"WarrenElizabeth Warren (D)","$20636522","$11272309","54.62%","Raised over $100k"
"PelosiNancy Pelosi (D)","$10003159","$5340919","53.39%","Raised over $100k"
"PaulRand Paul (R)","$35527402","$18466244","51.98%","Raised over $100k"
"SpartzVictoria Spartz (R)","$811493","$408852","50.38%","Raised over $100k"
"BurgessMichael Burgess (R)","$1200022","$604170","50.35%","Raised over $100k"
"FettermanJohn Fetterman (D)","$82199022","$41257356","50.19%","Raised over $100k"
"MillerMary Miller (R)","$1560026","$769100","49.30%","Raised over $100k"
"JacksonRonny Jackson (R)","$6312579","$3107198","49.22%","Raised over $100k"
"FrostMaxwell Frost (D)","$3930459","$1924972","48.98%","Raised over $100k"
"GrahamLindsey Graham (R)","$117401780","$57222742","48.74%","Raised over $100k"
"OmarIlhan Omar (D)","$8202075","$3910173","47.67%","Raised over $100k"
"ComerJames Comer (R)","$7596325","$3611561","47.54%","Raised over $100k"
"OssoffJon Ossoff (D)","$171895162","$81165841","47.22%","Raised over $100k"
"KennedyJohn Kennedy (R)","$51628839","$24303561","47.07%","Raised over $100k"
"BoebertLauren Boebert (R)","$4730531","$2178726","46.06%","Raised over $100k"
"CrockettJasmine Crockett (D)","$3036171","$1369700","45.11%","Raised over $100k"
"KellyMark Kelly (D)","$99670347","$44905855","45.05%","Raised over $100k"
"WarnockRaphael Warnock (D)","$184266768","$82704461","44.88%","Raised over $100k"
"CruzTed Cruz (R)","$105557321","$47077922","44.60%","Raised over $100k"
"AllredColin Allred (D)","$92580217","$41272085","44.58%","Raised over $100k"
