"Name","Total Raised","Total from Small Donors","Percent from Small Donors*","total money raised"
"SandersBernie Sanders (I)","$1247909","$845951","67.79%","Raised over $100k"
"GraysonAlan Grayson (D)","$8729520","$4947575","56.68%","Raised over $100k"
"FrankenAl Franken (D)","$27492595","$13701210","49.84%","Raised over $100k"
"WarrenElizabeth Warren (D)","$51431099","$25253498","49.10%","Raised over $100k"
"GowdyTrey Gowdy (R)","$1869294","$913525","48.87%","Raised over $100k"
"EllisonKeith Ellison (D)","$2784931","$1337663","48.03%","Raised over $100k"
"PelosiNancy Pelosi (D)","$4318119","$1894663","43.88%","Raised over $100k"
"BaldwinTammy Baldwin (D)","$18657971","$7787049","41.74%","Raised over $100k"
"LoveMia Love (R)","$5377438","$2176494","40.47%","Raised over $100k"
"PaulRand Paul (R)","$11053205","$4351819","39.37%","Raised over $100k"
"EdwardsDonna Edwards (D)","$3500328","$1272003","36.34%","Raised over $100k"
"MerkleyJeff Merkley (D)","$11918480","$4232157","35.51%","Raised over $100k"
"GabbardTulsi Gabbard (D)","$2220302","$781256","35.19%","Raised over $100k"
"ZinkeRyan Zinke (R)","$5557720","$1923175","34.60%","Raised over $100k"
"KirkpatrickAnn Kirkpatrick (D)","$9136500","$2931834","32.09%","Raised over $100k"
"BrownSherrod Brown (D)","$26808891","$8599085","32.08%","Raised over $100k"
"McSallyMartha McSally (R)","$7699932","$2467413","32.04%","Raised over $100k"
"DuckworthTammy Duckworth (D)","$16364966","$5180553","31.66%","Raised over $100k"
"NolanRick Nolan (D)","$3029107","$931942","30.77%","Raised over $100k"
"McClintockTom McClintock (R)","$1039359","$317276","30.53%","Raised over $100k"
"ShaheenJeanne Shaheen (D)","$16508413","$4400987","26.66%","Raised over $100k"
"CantwellMaria Cantwell (D)","$11691083","$3063114","26.20%","Raised over $100k"
"RubioMarco Rubio (R)","$25254738","$6341310","25.11%","Raised over $100k"
"GrijalvaRaul M Grijalva (D)","$658782","$163315","24.79%","Raised over $100k"
"KingSteven A King (R)","$944683","$228993","24.24%","Raised over $100k"
"WassermanDebbie Wasserman Schultz (D)","$4009404","$917332","22.88%","Raised over $100k"
"HuelskampTim Huelskamp (R)","$923124","$210120","22.76%","Raised over $100k"
"McCaskillClaire McCaskill (D)","$20532222","$4648244","22.64%","Raised over $100k"
"MeadowsMark R Meadows (R)","$530469","$112808","21.27%","Raised over $100k"
"HeitkampHeidi Heitkamp (D)","$7592634","$1592214","20.97%","Raised over $100k"
"BratDave Brat (R)","$1259401","$259090","20.57%","Raised over $100k"
"IssaDarrell Issa (R)","$2854882","$580343","20.33%","Raised over $100k"
"SmithChris Smith (R)","$725293","$144379","19.91%","Raised over $100k"
"BustosCheri Bustos (D)","$3504463","$686232","19.58%","Raised over $100k"
"DeFazioPeter DeFazio (D)","$1484774","$289706","19.51%","Raised over $100k"
"CottonTom Cotton (R)","$14784852","$2880150","19.48%","Raised over $100k"
"ErnstJoni Ernst (R)","$12884110","$2507141","19.46%","Raised over $100k"
"BrownleyJulia Brownley (D)","$3290603","$630948","19.17%","Raised over $100k"
"UdallTom Udall (D)","$8744457","$1637583","18.73%","Raised over $100k"
"KlobucharAmy Klobuchar (D)","$9858582","$1836015","18.62%","Raised over $100k"
"HironoMazie K Hirono (D)","$7138539","$1316977","18.45%","Raised over $100k"
"PingreeChellie Pingree (D)","$609680","$111609","18.31%","Raised over $100k"
"CruzTed Cruz (R)","$24586001","$4459878","18.14%","Raised over $100k"
"SasseBen Sasse (R)","$7502700","$1317732","17.56%","Raised over $100k"
"HerreraJaime Herrera Beutler (R)","$1366402","$237537","17.38%","Raised over $100k"
"AguilarPete Aguilar (D)","$2891161","$502084","17.37%","Raised over $100k"
"MarkeyEd Markey (D)","$19068228","$3258201","17.09%","Raised over $100k"
"BlumRod Blum (R)","$1897637","$316799","16.69%","Raised over $100k"
"JohnsonRon Johnson (R)","$20308835","$3338459","16.44%","Raised over $100k"
"McGovernJames P McGovern (D)","$928775","$151206","16.28%","Raised over $100k"
